description,completed,value,new_balance
Saving,2016-12-30T23:27:07Z,-1808.09HKD,115438.22HKD
Mobile,2016-12-30T17:31:09Z,-397.44HKD,117246.31HKD
Bar,2016-12-24T22:52:21Z,-103.32HKD,117643.75HKD
Bar,2016-12-24T21:37:00Z,-273.79HKD,117747.07HKD
Coffee,2016-12-24T02:36:10Z,-150.14HKD,118020.86HKD
Coffee,2016-12-21T20:14:51Z,-65.50HKD,118171.00HKD
Resaurant,2016-12-21T18:33:43Z,-401.19HKD,118236.50HKD
Flights,2016-12-21T12:21:45Z,-1201.15HKD,118637.69HKD
Shopping,2016-12-21T10:58:52Z,-151.86HKD,119838.84HKD
Booking.com,2016-12-21T10:35:04Z,-847.08HKD,119990.70HKD
Restaurant/Takeway,2016-12-19T17:27:24Z,-505.78HKD,120837.78HKD
Shopping,2016-12-19T07:22:28Z,-514.80HKD,121343.56HKD
Shopping,2016-12-19T03:35:25Z,-289.68HKD,121858.36HKD
Shopping,2016-12-18T22:22:42Z,-1044.53HKD,122148.04HKD
Restaurant,2016-12-18T21:40:26Z,-155.25HKD,123192.57HKD
Restaurant,2016-12-18T19:53:06Z,-384.33HKD,123347.82HKD
Coffee,2016-12-18T16:48:03Z,-65.50HKD,123732.15HKD
Bar,2016-12-18T10:44:13Z,-222.06HKD,123797.65HKD
Coffee,2016-12-18T05:51:00Z,-65.50HKD,124019.71HKD
Shopping,2016-12-18T04:11:28Z,-721.61HKD,124085.21HKD
Spa,2016-12-18T02:42:16Z,-234.98HKD,124806.82HKD
Coffee,2016-12-15T23:09:50Z,-65.50HKD,125041.80HKD
Shopping,2016-12-15T18:44:54Z,-276.69HKD,125107.30HKD
Shopping,2016-12-15T12:28:02Z,-73.43HKD,125383.99HKD
Shopping,2016-12-14T21:49:03Z,-59.82HKD,125457.42HKD
Coffee,2016-12-14T08:02:58Z,-65.50HKD,125517.24HKD
Filling Station,2016-12-14T08:00:58Z,-590.14HKD,125582.74HKD
Cash Withdrawals,2016-12-14T06:43:18Z,-1056.45HKD,126172.88HKD
Monthly Netflix Membership,2016-12-14T06:41:03Z,-59.82HKD,127229.33HKD
Cinema,2016-12-14T06:39:05Z,-135.48HKD,127289.15HKD
Tickets,2016-12-14T04:56:54Z,-730.25HKD,127424.63HKD
Coffee,2016-12-14T03:07:34Z,-65.50HKD,128154.88HKD
Spa,2016-12-14T03:07:19Z,-804.89HKD,128220.38HKD
Restaurant,2016-12-11T18:52:33Z,-457.22HKD,129025.27HKD
Shopping,2016-12-11T08:21:59Z,-538.61HKD,129482.49HKD
Shopping,2016-12-04T16:49:01Z,-279.47HKD,130021.10HKD
Bar,2016-12-04T05:18:09Z,-207.50HKD,130300.57HKD
Car Servicing,2016-12-01T19:42:00Z,-3629.45HKD,130508.07HKD
Salary Ref ID34215,2016-12-01T15:29:35Z,12280.40HKD,134137.52HKD
Mobile,2016-11-30T20:21:19Z,-397.44HKD,121857.12HKD
Saving,2016-11-30T17:42:04Z,-1808.09HKD,122254.56HKD
Shopping,2016-11-28T03:12:19Z,-61.91HKD,124062.65HKD
Coffee,2016-11-23T08:29:44Z,-65.50HKD,124124.56HKD
Filling Station,2016-11-23T05:47:03Z,-538.61HKD,124190.06HKD
Restaurant,2016-11-23T03:41:39Z,-277.03HKD,124728.67HKD
Bar,2016-11-20T17:48:02Z,-257.12HKD,125005.70HKD
Coffee,2016-11-16T13:29:42Z,-69.75HKD,125262.82HKD
Shopping,2016-11-14T19:18:56Z,-468.05HKD,125332.57HKD
Shopping,2016-11-14T03:28:43Z,-245.00HKD,125800.62HKD
Salary Ref ID34215,2016-11-09T19:28:18Z,12280.40HKD,126045.62HKD
Cash Withdrawals,2016-11-07T22:19:45Z,-1056.45HKD,113765.22HKD
Restaurant,2016-11-07T10:36:56Z,-443.41HKD,114821.67HKD
Restaurant,2016-11-06T21:33:49Z,-277.03HKD,115265.08HKD
Bar,2016-11-06T13:05:03Z,-183.33HKD,115542.11HKD
