description,completed,value,new_balance
Monthly Sky,2019-06-04T15:38:03Z,-967.82HKD,77677.48HKD
Shopping,2019-06-04T11:41:21Z,-1692.24HKD,78645.30HKD
Gas/Elec,2019-06-01T17:19:09Z,-534.57HKD,80337.54HKD
Insurance Ref IDE5467,2019-06-01T13:42:20Z,-271.49HKD,80872.11HKD
Water,2019-06-01T12:47:56Z,-323.24HKD,81143.60HKD
Tax Ref 4583245,2019-06-01T08:16:46Z,-1371.30HKD,81466.84HKD
Salary Ref ID34215,2019-06-01T06:47:58Z,17670.90HKD,82838.14HKD
Mortgage Ref DDE23461,2019-06-01T01:45:41Z,-6311.21HKD,65167.24HKD
Bar,2019-05-27T17:24:44Z,-262.70HKD,71478.45HKD
Bar,2019-05-27T01:25:57Z,-176.08HKD,71741.15HKD
Restaurant,2019-05-21T23:59:58Z,-330.98HKD,71917.23HKD
Shopping,2019-05-21T15:06:12Z,-539.90HKD,72248.21HKD
Yatch Club,2019-05-20T18:56:29Z,325.84HKD,72788.11HKD
Restaurant/Takeway,2019-05-18T15:59:02Z,-73.43HKD,72462.27HKD
coffee,2019-05-16T22:13:07Z,-65.50HKD,72535.70HKD
Shopping,2019-05-14T04:26:36Z,-422.59HKD,72601.20HKD
Restaurant,2019-05-12T17:05:13Z,-231.28HKD,73023.79HKD
Takeway,2019-05-12T03:54:45Z,-489.97HKD,73255.07HKD
coffee,2019-05-07T23:40:03Z,-45.12HKD,73745.04HKD
Bar,2019-05-07T06:58:20Z,-399.10HKD,73790.16HKD
Filling Station,2019-05-05T22:53:37Z,-587.59HKD,74189.26HKD
resturant,2019-05-04T12:41:50Z,-343.31HKD,74776.85HKD
Cinema,2019-05-04T00:40:26Z,-245.00HKD,75120.16HKD
Restaurant/Takeway,2019-05-03T22:58:51Z,-156.38HKD,75365.16HKD
Restaurant,2019-05-03T03:09:37Z,-244.91HKD,75521.54HKD
Insurance Ref IDE5467,2019-05-02T22:53:20Z,-271.49HKD,75766.45HKD
Tax Ref 4583245,2019-05-02T16:20:03Z,-1371.30HKD,76037.94HKD
Mortgage Ref DDE23461,2019-05-02T16:03:43Z,-6311.21HKD,77409.24HKD
Monthly Sky,2019-05-02T13:28:06Z,-967.82HKD,83720.45HKD
Gas/Elec,2019-05-02T11:48:55Z,-534.57HKD,84688.27HKD
Water,2019-05-02T06:33:33Z,-323.24HKD,85222.84HKD
Salary Ref ID34215,2019-05-02T06:04:46Z,17670.90HKD,85546.08HKD
coffee,2019-05-02T01:21:47Z,-128.64HKD,67875.18HKD
coffee,2019-04-26T19:53:43Z,-49.75HKD,68003.82HKD
Filling Station,2019-04-26T09:26:21Z,-717.48HKD,68053.57HKD
Shopping,2019-04-25T12:12:01Z,-427.33HKD,68771.05HKD
Restaurant,2019-04-18T08:17:05Z,-210.61HKD,69198.38HKD
Takeway,2019-04-17T19:12:12Z,-134.55HKD,69408.99HKD
Bar,2019-04-10T05:54:09Z,-403.66HKD,69543.54HKD
Restaurant/Takeway,2019-04-09T19:57:42Z,-49.75HKD,69947.20HKD
Cash Withdrawal,2019-04-09T08:08:26Z,-3119.09HKD,69996.95HKD
Bar,2019-04-09T07:24:56Z,-285.17HKD,73116.04HKD
coffee,2019-04-08T20:30:14Z,-97.49HKD,73401.21HKD
Restaurant,2019-04-07T14:49:03Z,-312.52HKD,73498.70HKD
Shopping,2019-04-07T06:40:48Z,-171.68HKD,73811.22HKD
Yatch Club,2019-04-05T18:05:39Z,-427.22HKD,73982.90HKD
coffee,2019-04-05T11:52:35Z,-52.96HKD,74410.12HKD
Filling Station,2019-04-04T04:11:39Z,-587.59HKD,74463.08HKD
Restaurant/Takeway,2019-04-03T16:30:06Z,-295.05HKD,75050.67HKD
Shopping,2019-04-03T15:28:24Z,-528.03HKD,75345.72HKD
Shopping,2019-04-03T11:30:40Z,1166.60HKD,75873.75HKD
Shopping,2019-04-03T07:24:12Z,693.10HKD,74707.15HKD
Shopping,2019-04-03T06:08:00Z,-528.03HKD,74014.05HKD
Bar,2019-04-02T09:25:42Z,-644.85HKD,74542.08HKD
Monthly Sky,2019-04-02T04:43:08Z,-967.82HKD,75186.93HKD
Water,2019-04-01T22:07:37Z,-323.24HKD,76154.75HKD
Tax Ref 4583245,2019-04-01T19:40:38Z,-1371.30HKD,76477.99HKD
Gas/Elec,2019-04-01T08:29:13Z,-534.57HKD,77849.29HKD
Mortgage Ref DDE23461,2019-04-01T00:16:47Z,-6311.21HKD,78383.86HKD
Bar,2019-03-28T13:47:45Z,-280.00HKD,84695.07HKD
Transfer,2019-03-27T09:58:38Z,-3119.09HKD,84975.07HKD
Resaurant/Takeway,2019-03-25T23:46:06Z,-171.76HKD,88094.16HKD
Bar,2019-03-25T01:59:40Z,-274.37HKD,88265.92HKD
Shopping,2019-03-24T21:56:05Z,-290.12HKD,88540.29HKD
Dentist,2019-03-23T08:39:34Z,-538.61HKD,88830.41HKD
Parmacy,2019-03-23T05:33:44Z,-73.94HKD,89369.02HKD
Restaurant/Takeway,2019-03-21T23:38:35Z,-46.10HKD,89442.96HKD
coffee,2019-03-21T20:28:42Z,-52.88HKD,89489.06HKD
Restaurant,2019-03-20T11:04:27Z,-498.60HKD,89541.94HKD
Takeway,2019-03-20T06:42:30Z,-777.47HKD,90040.54HKD
Yatch Club,2019-03-19T14:03:51Z,-556.36HKD,90818.01HKD
Restaurant,2019-03-19T02:57:56Z,-371.73HKD,91374.37HKD
Yatch Club,2019-03-19T00:02:48Z,-538.49HKD,91746.10HKD
coffee,2019-03-18T23:35:17Z,-69.75HKD,92284.59HKD
Bar,2019-03-16T20:01:06Z,-748.39HKD,92354.34HKD
Takeway,2019-03-16T15:01:58Z,-451.76HKD,93102.73HKD
coffee,2019-03-14T09:08:16Z,-69.75HKD,93554.49HKD
Shopping,2019-03-13T22:36:23Z,-577.69HKD,93624.24HKD
Restaurant,2019-03-12T14:11:52Z,-138.56HKD,94201.93HKD
Bar,2019-03-12T08:52:27Z,-253.09HKD,94340.49HKD
Restaurant,2019-03-11T22:04:40Z,-65.76HKD,94593.58HKD
Shopping,2019-03-10T07:21:22Z,-930.02HKD,94659.34HKD
coffee,2019-03-09T05:58:35Z,-43.81HKD,95589.36HKD
Shopping,2019-03-08T13:46:33Z,-716.04HKD,95633.17HKD
Shopping,2019-03-07T09:44:18Z,-331.96HKD,96349.21HKD
Shopping,2019-03-06T16:12:03Z,-722.14HKD,96681.17HKD
Shopping,2019-03-06T06:20:26Z,-716.04HKD,97403.31HKD
coffee,2019-03-05T03:05:40Z,-56.57HKD,98119.35HKD
Restaurant,2019-03-05T01:34:08Z,-295.05HKD,98175.92HKD
Resaurant/Takeway,2019-03-04T22:27:36Z,-52.88HKD,98470.97HKD
Restaurtant/Takeway,2019-03-04T20:48:25Z,-108.45HKD,98523.85HKD
Filling Station,2019-03-04T07:14:21Z,-722.14HKD,98632.30HKD
Bar,2019-03-04T05:50:54Z,-457.22HKD,99354.44HKD
Monthly Sky,2019-03-02T18:49:08Z,-967.82HKD,99811.66HKD
Water,2019-03-01T22:45:48Z,-323.24HKD,100779.48HKD
Mortgage Ref DDE23461,2019-03-01T16:59:49Z,-6311.21HKD,101102.72HKD
Gas/Elec,2019-03-01T13:36:05Z,-534.57HKD,107413.93HKD
Tax Ref 4583245,2019-03-01T11:29:23Z,-1371.30HKD,107948.50HKD
Insurance Ref IDE5467,2019-03-01T10:19:11Z,-271.49HKD,109319.80HKD
Salary Ref ID34215,2019-03-01T03:36:56Z,17670.90HKD,109591.29HKD
