description,completed,value,new_balance
Resaurant/Takeway,2018-12-31T20:42:36Z,-171.76HKD,6666.26HKD
Bar,2018-12-31T06:49:44Z,-280.00HKD,6838.02HKD
Bar,2018-12-31T04:13:39Z,-274.37HKD,7118.02HKD
Transfer,2018-12-31T02:48:55Z,-3119.09HKD,7392.39HKD
Restaurant/Takeway,2018-12-30T14:03:17Z,-46.10HKD,10511.48HKD
Dentist,2018-12-30T11:48:09Z,-538.61HKD,10557.58HKD
Shopping,2018-12-30T07:36:41Z,-290.12HKD,11096.19HKD
Parmacy,2018-12-30T06:25:14Z,-73.94HKD,11386.31HKD
coffee,2018-12-29T18:58:44Z,-52.88HKD,11460.25HKD
Restaurant,2018-12-29T14:38:11Z,-498.60HKD,11513.13HKD
Yatch Club,2018-12-29T12:51:29Z,-556.36HKD,12011.73HKD
Yatch Club,2018-12-29T10:08:57Z,-538.49HKD,12568.09HKD
Takeway,2018-12-29T07:13:20Z,-777.47HKD,13106.58HKD
Restaurant,2018-12-29T03:36:15Z,-371.73HKD,13884.05HKD
coffee,2018-12-28T17:51:11Z,-69.75HKD,14255.78HKD
Takeway,2018-12-28T17:48:06Z,-451.76HKD,14325.53HKD
Bar,2018-12-28T14:34:34Z,-748.39HKD,14777.29HKD
coffee,2018-12-28T01:34:39Z,-69.75HKD,15525.68HKD
Bar,2018-12-24T22:19:10Z,-253.09HKD,15595.43HKD
Restaurant,2018-12-24T20:53:41Z,-65.76HKD,15848.52HKD
Shopping,2018-12-24T19:10:43Z,-577.69HKD,15914.28HKD
Shopping,2018-12-24T13:14:46Z,-930.02HKD,16491.97HKD
coffee,2018-12-24T11:43:02Z,-43.81HKD,17421.99HKD
Restaurant,2018-12-24T03:03:54Z,-138.56HKD,17465.80HKD
Shopping,2018-12-21T20:47:10Z,-716.04HKD,17604.36HKD
Shopping,2018-12-20T22:32:08Z,-331.96HKD,18320.40HKD
Shopping,2018-12-19T02:43:24Z,-722.14HKD,18652.36HKD
Shopping,2018-12-19T00:35:42Z,-716.04HKD,19374.50HKD
coffee,2018-12-18T03:38:35Z,-56.57HKD,20090.54HKD
Restaurant,2018-12-16T11:01:58Z,-295.05HKD,20147.11HKD
Filling Station,2018-12-13T22:25:32Z,-722.14HKD,20442.16HKD
Resaurant/Takeway,2018-12-13T11:20:19Z,-52.88HKD,21164.30HKD
Restaurtant/Takeway,2018-12-12T16:32:57Z,-108.45HKD,21217.18HKD
Bar,2018-12-12T07:42:15Z,-457.22HKD,21325.63HKD
Shopping,2018-12-04T20:42:29Z,-1692.24HKD,21782.85HKD
Monthly Sky,2018-12-04T03:03:39Z,-967.82HKD,23475.09HKD
Insurance Ref IDE5467,2018-12-01T23:50:32Z,-271.49HKD,24442.91HKD
Mortgage Ref DDE23461,2018-12-01T22:36:42Z,-6311.21HKD,24714.40HKD
Salary Ref ID34215,2018-12-01T18:45:02Z,17670.90HKD,31025.61HKD
Gas/Elec,2018-12-01T11:23:03Z,-534.57HKD,13354.71HKD
Water,2018-12-01T10:34:21Z,-323.24HKD,13889.28HKD
Tax Ref 4583245,2018-12-01T03:39:48Z,-1371.30HKD,14212.52HKD
Bar,2018-11-27T19:08:53Z,-262.70HKD,15583.82HKD
Bar,2018-11-27T10:13:34Z,-176.08HKD,15846.52HKD
Restaurant,2018-11-21T16:20:26Z,-330.98HKD,16022.60HKD
Shopping,2018-11-21T01:34:09Z,-539.90HKD,16353.58HKD
Yatch Club,2018-11-20T07:19:26Z,325.84HKD,16893.48HKD
Restaurant/Takeway,2018-11-18T09:17:46Z,-73.43HKD,16567.64HKD
coffee,2018-11-16T03:03:27Z,-65.50HKD,16641.07HKD
Takeway,2018-11-14T15:28:58Z,-489.97HKD,16706.57HKD
Shopping,2018-11-14T00:24:45Z,-422.59HKD,17196.54HKD
restaurant,2018-11-12T19:14:38Z,-231.28HKD,17619.13HKD
Bar,2018-11-12T17:57:23Z,-399.10HKD,17850.41HKD
Filling Station,2018-11-09T11:51:30Z,-587.59HKD,18249.51HKD
coffee,2018-11-09T02:34:25Z,-45.12HKD,18837.10HKD
Restaurant,2018-11-07T21:16:52Z,-244.91HKD,18882.22HKD
resturant,2018-11-07T17:11:11Z,-343.31HKD,19127.13HKD
Cinema,2018-11-07T11:18:07Z,-245.00HKD,19470.44HKD
Restaurant/Takeway,2018-11-06T10:45:11Z,-156.38HKD,19715.44HKD
Gas/Elec,2018-11-02T20:28:47Z,-534.57HKD,19871.82HKD
coffee,2018-11-02T20:19:49Z,-128.64HKD,20406.39HKD
Mortgage Ref DDE23461,2018-11-02T19:52:22Z,-6311.21HKD,20535.03HKD
Monthly Sky,2018-11-02T11:37:28Z,-967.82HKD,26846.24HKD
Tax Ref 4583245,2018-11-02T09:47:32Z,-1371.30HKD,27814.06HKD
Water,2018-11-02T01:44:22Z,-323.24HKD,29185.36HKD
Salary Ref ID34215,2018-11-02T01:15:41Z,17670.90HKD,29508.60HKD
Insurance Ref IDE5467,2018-11-02T00:04:08Z,-271.49HKD,11837.70HKD
coffee,2018-10-26T19:09:38Z,-49.75HKD,12109.19HKD
Filling Station,2018-10-26T16:54:31Z,-717.48HKD,12158.94HKD
Shopping,2018-10-25T10:06:43Z,-427.33HKD,12876.42HKD
Restaurant,2018-10-18T17:16:54Z,-210.61HKD,13303.75HKD
Takeway,2018-10-17T03:05:11Z,-134.55HKD,13514.36HKD
Bar,2018-10-10T18:40:15Z,-403.66HKD,13648.91HKD
Cash Withdrawal,2018-10-09T19:03:50Z,-3119.09HKD,14052.57HKD
Restaurant/Takeway,2018-10-09T07:00:22Z,-49.75HKD,17171.66HKD
Bar,2018-10-09T05:45:28Z,-285.17HKD,17221.41HKD
coffee,2018-10-08T07:22:15Z,-97.49HKD,17506.58HKD
Restaurant,2018-10-07T03:49:12Z,-312.52HKD,17604.07HKD
Shopping,2018-10-07T00:29:12Z,-171.68HKD,17916.59HKD
coffee,2018-10-05T12:05:25Z,-52.96HKD,18088.27HKD
Yatch Club,2018-10-05T10:49:41Z,-427.22HKD,18141.23HKD
Filling Station,2018-10-04T00:46:54Z,-587.59HKD,18568.45HKD
Payment of Cerdit Card,2018-10-03T22:31:55Z,-3119.09HKD,19156.04HKD
Payment of Cerdit Card,2018-10-03T14:41:13Z,-1506.59HKD,22275.13HKD
Payment of Cerdit Card,2018-10-03T11:54:38Z,-5312.83HKD,23781.72HKD
Payment of Cerdit Card,2018-10-03T09:23:25Z,-528.03HKD,29094.55HKD
Restaurant/Takeway,2018-10-03T03:48:37Z,-295.05HKD,29622.58HKD
Bar,2018-10-02T18:47:52Z,-644.85HKD,29917.63HKD
Monthly Sky,2018-10-02T04:44:53Z,-967.82HKD,30562.48HKD
Water,2018-10-01T16:01:08Z,-323.24HKD,31530.30HKD
Mortgage Ref DDE23461,2018-10-01T13:39:47Z,-6311.21HKD,31853.54HKD
Gas/Elec,2018-10-01T05:17:25Z,-534.57HKD,38164.75HKD
Tax Ref 4583245,2018-10-01T02:20:26Z,-1371.30HKD,38699.32HKD
Bar,2018-09-29T20:37:08Z,-280.00HKD,40070.62HKD
Transfer,2018-09-27T00:08:13Z,-3119.09HKD,40350.62HKD
Resaurant/Takeway,2018-09-25T10:58:58Z,-171.76HKD,43469.71HKD
Bar,2018-09-25T03:10:38Z,-274.37HKD,43641.47HKD
Shopping,2018-09-24T18:52:18Z,-290.12HKD,43915.84HKD
Parmacy,2018-09-23T13:16:58Z,-73.94HKD,44205.96HKD
Dentist,2018-09-23T07:58:03Z,-538.61HKD,44279.90HKD
