description,completed,value,new_balance
Filling Station Ref CC1695432,2019-06-04T23:01:49Z,-587.59HKD,26030.47HKD
Shopping Ref CC80895431,2019-06-01T10:06:48Z,-538.61HKD,26618.06HKD
Bar Ref CC5432872,2019-04-01T09:35:20Z,-151.86HKD,27156.67HKD
Bar Ref CC1421712,2019-03-26T00:13:05Z,-151.86HKD,27308.53HKD
Parking Ref CC6146612,2019-03-24T03:39:36Z,-77.89HKD,27460.39HKD
Shopping Ref CC70595431,2019-03-23T22:28:36Z,-538.61HKD,27538.28HKD
Cinema Ref CC7714143,2019-03-21T14:00:17Z,-234.75HKD,28076.89HKD
coffee Ref CC1406843,2019-03-19T22:01:59Z,-40.42HKD,28311.64HKD
Restaurant Ref  CC7655412,2019-03-17T22:21:07Z,-331.96HKD,28352.06HKD
Shopping Ref CC0066915,2019-03-17T17:21:08Z,-1506.59HKD,28684.02HKD
Shopping Ref CC8755412,2019-03-16T15:23:33Z,-2688.87HKD,30190.61HKD
coffee Ref CC1776843,2019-03-13T09:38:53Z,-40.42HKD,32879.48HKD
Takeway Ref CC1225656,2019-03-11T17:54:56Z,-77.89HKD,32919.90HKD
Bar Ref CC3421711,2019-03-06T08:14:30Z,-443.08HKD,32997.79HKD
Filling Station Ref CC1695831,2019-03-02T07:50:52Z,-587.59HKD,33440.87HKD
Shopping Ref CC7712139,2019-03-01T19:10:44Z,-538.61HKD,34028.46HKD
