description,completed,value,new_balance
Pay Ref 89416,2018-12-30T10:24:13Z,17890.36HKD,182822.86HKD
Savings,2018-12-30T07:00:52Z,-2688.87HKD,164932.50HKD
BT,2018-12-29T01:21:16Z,-376.34HKD,167621.37HKD
Shopping,2018-12-16T04:51:57Z,-674.36HKD,167997.71HKD
Coffee,2018-12-12T15:23:25Z,-69.61HKD,168672.07HKD
Restaurants,2018-12-12T07:04:58Z,-292.10HKD,168741.68HKD
Shopping,2018-12-11T06:32:17Z,-537.80HKD,169033.78HKD
Shopping,2018-12-11T04:11:05Z,-804.89HKD,169571.58HKD
Restaurants,2018-12-11T02:14:47Z,-674.52HKD,170376.47HKD
Shopping,2018-12-04T16:23:35Z,-522.73HKD,171050.99HKD
Filling Station,2018-12-04T07:15:15Z,-717.48HKD,171573.72HKD
Gas/Elec,2018-12-01T22:09:11Z,-1056.45HKD,172291.20HKD
Monthly Golf membership,2018-12-01T10:46:02Z,-407.62HKD,173347.65HKD
Water,2018-12-01T07:03:33Z,-271.49HKD,173755.27HKD
Tax Ref 4583245,2018-12-01T04:33:51Z,-271.49HKD,174026.76HKD
Pay Ref 66412,2018-11-30T19:00:48Z,17890.36HKD,174298.25HKD
Savings,2018-11-30T15:34:42Z,-2688.87HKD,156407.89HKD
BT,2018-11-15T05:33:00Z,-376.34HKD,159096.76HKD
Shopping,2018-11-14T12:07:18Z,-547.75HKD,159473.10HKD
Filling Station,2018-11-14T09:59:34Z,-722.14HKD,160020.85HKD
Restaurants,2018-11-13T13:53:55Z,-323.87HKD,160742.99HKD
Bar,2018-11-13T10:38:58Z,-216.69HKD,161066.86HKD
Coffee,2018-11-13T03:12:22Z,-65.73HKD,161283.55HKD
Coffee,2018-11-09T12:19:20Z,-149.45HKD,161349.28HKD
Shopping,2018-11-09T00:42:25Z,-541.84HKD,161498.73HKD
Shopping,2018-11-07T20:01:32Z,-323.87HKD,162040.57HKD
Restaurants,2018-11-07T15:44:49Z,-997.38HKD,162364.44HKD
Shopping,2018-11-06T05:12:13Z,-870.20HKD,163361.82HKD
Shopping,2018-11-04T17:16:18Z,-65.73HKD,164232.02HKD
Shopping,2018-11-04T09:20:34Z,-722.14HKD,164297.75HKD
Gas/Elec,2018-11-02T23:59:41Z,-1056.45HKD,165019.89HKD
Water,2018-11-02T18:43:30Z,-271.49HKD,166076.34HKD
Monthly Golf membership,2018-11-02T17:57:31Z,-407.62HKD,166347.83HKD
Council Tax,2018-11-02T05:52:04Z,-271.49HKD,166755.45HKD
Savings,2018-10-30T05:10:30Z,-2688.87HKD,167026.94HKD
Pay Ref 56412,2018-10-29T17:08:17Z,17890.36HKD,169715.81HKD
BT,2018-10-20T12:58:36Z,-376.34HKD,151825.45HKD
Bar,2018-10-12T03:10:11Z,-427.22HKD,152201.79HKD
Filling Station,2018-10-12T00:01:39Z,-722.14HKD,152629.01HKD
Shopping,2018-10-11T19:22:04Z,-633.12HKD,153351.15HKD
Restaurants,2018-10-09T15:33:09Z,-791.92HKD,153984.27HKD
Filling Station,2018-10-05T16:12:58Z,-722.14HKD,154776.19HKD
Restaurants,2018-10-05T11:15:55Z,-380.11HKD,155498.33HKD
Florist,2018-10-05T09:48:07Z,-271.49HKD,155878.44HKD
Coffee,2018-10-05T08:11:44Z,-65.73HKD,156149.93HKD
Shopping,2018-10-05T05:51:08Z,-500.22HKD,156215.66HKD
Coffee,2018-10-05T03:42:02Z,-149.45HKD,156715.88HKD
Parking,2018-10-05T01:00:33Z,-58.40HKD,156865.33HKD
Shopping,2018-10-02T16:56:19Z,-997.38HKD,156923.73HKD
Water,2018-10-01T12:30:02Z,-271.49HKD,157921.11HKD
Monthly Golf membership,2018-10-01T11:19:12Z,-407.62HKD,158192.60HKD
Council Tax,2018-10-01T09:15:55Z,-271.49HKD,158600.22HKD
Gas/Elec,2018-10-01T08:59:17Z,-1056.45HKD,158871.71HKD
Savings,2018-09-30T09:05:40Z,-2688.87HKD,159928.16HKD
Income,2018-09-29T19:31:53Z,17890.36HKD,162617.03HKD
BT,2018-09-29T03:07:34Z,-376.34HKD,144726.67HKD
Shopping,2018-09-22T16:55:43Z,-674.36HKD,145103.01HKD
Coffee,2018-09-18T17:27:40Z,-69.61HKD,145777.37HKD
Shopping,2018-09-18T17:10:59Z,-537.80HKD,145846.98HKD
Restaurants,2018-09-18T13:07:36Z,-292.10HKD,146384.78HKD
Shopping,2018-09-18T04:02:49Z,-804.89HKD,146676.88HKD
Restaurants,2018-09-17T04:42:46Z,-674.52HKD,147481.77HKD
Shopping,2018-09-09T14:04:48Z,-522.73HKD,148156.29HKD
Filling Station,2018-09-09T01:05:20Z,-717.48HKD,148679.02HKD
Monthly Golf membership,2018-09-01T23:59:26Z,-407.62HKD,149396.50HKD
Water,2018-09-01T16:21:39Z,-271.49HKD,149804.12HKD
Gas/Elec,2018-09-01T05:12:15Z,-1056.45HKD,150075.61HKD
Tax Ref 4583245,2018-09-01T01:40:13Z,-271.49HKD,151132.06HKD
Savings,2018-08-30T07:24:21Z,-2688.87HKD,151403.55HKD
BT,2018-08-29T16:57:38Z,-376.34HKD,154092.42HKD
Income,2018-08-29T12:08:30Z,17890.36HKD,154468.76HKD
Savings,2018-08-28T05:11:34Z,-2688.87HKD,136578.40HKD
Filling Station,2018-08-26T21:24:14Z,-722.14HKD,139267.27HKD
Shopping,2018-08-22T08:04:08Z,-712.21HKD,139989.41HKD
