description,completed,value,new_balance
Salary Ref ID34215,2016-12-31T11:00:41Z,-40099.56HKD,3579.85HKD
Transfer,2016-12-31T10:02:15Z,-7951.83HKD,43679.41HKD
Transfer,2016-12-28T08:09:45Z,-7951.83HKD,51631.24HKD
Business insurance Ref FD1245,2016-12-22T10:19:51Z,-9601.09HKD,59583.07HKD
Resaurant,2016-12-20T23:34:50Z,-534.57HKD,69184.16HKD
Transfer,2016-12-14T23:16:09Z,-5071.88HKD,69718.73HKD
Filling Station,2016-12-11T16:40:31Z,-967.82HKD,74790.61HKD
Mobile,2016-12-11T02:12:03Z,-587.59HKD,75758.43HKD
Transfer,2016-12-07T18:17:11Z,-9601.09HKD,76346.02HKD
Transfer,2016-12-07T14:53:16Z,-37352.32HKD,85947.11HKD
Transfer,2016-12-07T10:22:43Z,-2714.72HKD,123299.43HKD
Salary Ref ID34215,2016-09-30T03:47:37Z,-40099.56HKD,126014.15HKD
Transfer,2016-09-25T11:59:08Z,-7951.83HKD,166113.71HKD
Transfer,2016-09-16T01:45:50Z,-7951.83HKD,174065.54HKD
Business insurance Ref FD1245,2016-09-09T07:07:11Z,-9601.09HKD,182017.37HKD
Resaurant,2016-09-07T04:15:00Z,-534.57HKD,191618.46HKD
Transfer,2016-09-04T02:09:50Z,-5071.88HKD,192153.03HKD
Transfer,2016-09-03T22:28:23Z,-37352.32HKD,197224.91HKD
Filling Station,2016-09-03T11:50:30Z,-407.62HKD,234577.23HKD
Mobile,2016-09-03T08:17:52Z,-587.59HKD,234984.85HKD
Transfer,2016-09-02T19:28:12Z,-2714.72HKD,235572.44HKD
Transfer,2016-09-02T04:52:52Z,-9601.09HKD,238287.16HKD
Salary Ref ID34215,2016-07-01T15:17:39Z,-40099.56HKD,247888.25HKD
Transfer,2016-07-01T04:38:18Z,-7951.83HKD,287987.81HKD
Transfer,2016-06-28T02:50:11Z,-7951.83HKD,295939.64HKD
Business insurance Ref FD1245,2016-06-20T04:46:08Z,-9601.09HKD,303891.47HKD
Resaurant,2016-06-19T15:16:16Z,-534.57HKD,313492.56HKD
Mobile,2016-06-19T07:55:42Z,-587.59HKD,314027.13HKD
Transfer,2016-06-14T09:56:30Z,-5071.88HKD,314614.72HKD
Filling Station,2016-06-10T07:20:46Z,-967.82HKD,319686.60HKD
Transfer,2016-06-07T17:37:34Z,-37352.32HKD,320654.42HKD
Transfer,2016-06-07T16:37:50Z,-9601.09HKD,358006.74HKD
Transfer,2016-06-07T02:27:45Z,-2714.72HKD,367607.83HKD
Salary Ref ID34215,2016-03-30T00:49:21Z,-40099.56HKD,370322.55HKD
Transfer,2016-03-25T01:36:45Z,-7951.83HKD,410422.11HKD
Transfer,2016-03-16T18:12:25Z,-7951.83HKD,418373.94HKD
Business insurance Ref FD1245,2016-03-09T22:49:35Z,-9601.09HKD,426325.77HKD
Resaurant,2016-03-07T09:47:33Z,-534.57HKD,435926.86HKD
Filling Station,2016-03-04T07:40:10Z,-967.82HKD,436461.43HKD
Transfer,2016-03-04T04:00:22Z,-5071.88HKD,437429.25HKD
Transfer,2016-03-03T07:01:47Z,-37352.32HKD,442501.13HKD
Mobile,2016-03-03T00:56:43Z,-587.59HKD,479853.45HKD
Transfer,2016-03-02T07:08:43Z,-9601.09HKD,480441.04HKD
Transfer,2016-03-02T03:27:18Z,-2714.72HKD,490042.13HKD
Salary Ref ID34215,2015-12-31T13:06:23Z,-40099.56HKD,492756.85HKD
Transfer,2015-12-31T08:15:28Z,-7951.83HKD,532856.41HKD
Transfer,2015-12-28T04:07:39Z,-7951.83HKD,540808.24HKD
Business insurance Ref FD1245,2015-12-22T02:18:03Z,-9601.09HKD,548760.07HKD
Resaurant,2015-12-20T13:39:29Z,-534.57HKD,558361.16HKD
Transfer,2015-12-14T01:57:54Z,-5071.88HKD,558895.73HKD
Filling Station,2015-12-11T18:06:00Z,-967.82HKD,563967.61HKD
Mobile,2015-12-11T11:06:10Z,-587.59HKD,564935.43HKD
Transfer,2015-12-07T19:26:21Z,-9601.09HKD,565523.02HKD
Transfer,2015-12-07T14:24:39Z,-37352.32HKD,575124.11HKD
Transfer,2015-12-07T12:01:47Z,-2714.72HKD,612476.43HKD
Salary Ref ID34215,2015-09-30T01:17:16Z,-40099.56HKD,615191.15HKD
Transfer,2015-09-25T13:19:31Z,-7951.83HKD,655290.71HKD
Transfer,2015-09-16T15:56:01Z,-7951.83HKD,663242.54HKD
Business insurance Ref FD1245,2015-09-09T15:51:29Z,-9601.09HKD,671194.37HKD
Resaurant,2015-09-07T00:33:17Z,-534.57HKD,680795.46HKD
Transfer,2015-09-04T17:55:40Z,-5071.88HKD,681330.03HKD
Mobile,2015-09-03T15:45:31Z,-587.59HKD,686401.91HKD
Transfer,2015-09-03T05:43:50Z,-37352.32HKD,686989.50HKD
Filling Station,2015-09-03T00:17:36Z,-407.62HKD,724341.82HKD
Transfer,2015-09-02T18:25:55Z,-2714.72HKD,724749.44HKD
Transfer,2015-09-02T09:03:03Z,-9601.09HKD,727464.16HKD
Transfer,2015-07-01T09:57:09Z,-7951.83HKD,737065.25HKD
Salary Ref ID34215,2015-07-01T08:59:39Z,-40099.56HKD,745017.08HKD
Transfer,2015-06-28T21:27:14Z,-7951.83HKD,785116.64HKD
Business insurance Ref FD1245,2015-06-20T12:27:33Z,-9601.09HKD,793068.47HKD
Resaurant,2015-06-19T18:33:19Z,-534.57HKD,802669.56HKD
Mobile,2015-06-19T16:07:54Z,-587.59HKD,803204.13HKD
Transfer,2015-06-14T18:46:16Z,-5071.88HKD,803791.72HKD
Filling Station,2015-06-10T18:10:49Z,-967.82HKD,808863.60HKD
Transfer,2015-06-07T14:58:38Z,-9601.09HKD,809831.42HKD
Transfer,2015-06-07T09:48:12Z,-2714.72HKD,819432.51HKD
Transfer,2015-06-07T04:40:42Z,-37352.32HKD,822147.23HKD
Salary Ref ID34215,2015-03-30T08:02:09Z,-40099.56HKD,859499.55HKD
Transfer,2015-03-25T20:57:01Z,-7951.83HKD,899599.11HKD
Transfer,2015-03-16T21:23:04Z,-7951.83HKD,907550.94HKD
Business insurance Ref FD1245,2015-03-09T18:41:59Z,-9601.09HKD,915502.77HKD
Resaurant,2015-03-07T04:35:14Z,-534.57HKD,925103.86HKD
Transfer,2015-03-04T23:13:07Z,-5071.88HKD,925638.43HKD
Filling Station,2015-03-04T18:41:18Z,-967.82HKD,930710.31HKD
Mobile,2015-03-03T21:43:18Z,-587.59HKD,931678.13HKD
Transfer,2015-03-03T04:48:55Z,-37352.32HKD,932265.72HKD
Transfer,2015-03-02T19:54:25Z,-9601.09HKD,969618.04HKD
Transfer,2015-03-02T09:08:28Z,-2714.72HKD,979219.13HKD
