description,completed,value,new_balance
Pay Ref 89416,2016-12-30T22:38:28Z,17890.36HKD,186570.35HKD
Savings,2016-12-30T09:51:15Z,-2688.87HKD,168679.99HKD
BT,2016-12-29T23:10:01Z,-376.34HKD,171368.86HKD
Shopping,2016-12-16T23:45:23Z,-674.36HKD,171745.20HKD
Restaurants,2016-12-12T19:15:53Z,-292.10HKD,172419.56HKD
Coffee,2016-12-12T04:04:39Z,-69.61HKD,172711.66HKD
Restaurants,2016-12-11T18:08:11Z,-674.52HKD,172781.27HKD
Shopping,2016-12-11T10:57:37Z,-537.80HKD,173455.79HKD
Shopping,2016-12-11T09:55:33Z,-804.89HKD,173993.59HKD
Filling Station,2016-12-04T16:41:33Z,-717.48HKD,174798.48HKD
Shopping,2016-12-04T02:55:15Z,-522.73HKD,175515.96HKD
Monthly Golf membership,2016-12-01T16:37:51Z,-407.62HKD,176038.69HKD
Tax Ref 4583245,2016-12-01T12:19:03Z,-271.49HKD,176446.31HKD
Gas/Elec,2016-12-01T08:57:06Z,-1056.45HKD,176717.80HKD
Water,2016-12-01T04:40:33Z,-271.49HKD,177774.25HKD
Pay Ref 66412,2016-11-30T20:50:06Z,17890.36HKD,178045.74HKD
Savings,2016-11-30T05:48:28Z,-2688.87HKD,160155.38HKD
BT,2016-11-15T14:53:46Z,-376.34HKD,162844.25HKD
Shopping,2016-11-14T06:40:37Z,-547.75HKD,163220.59HKD
Filling Station,2016-11-14T05:21:15Z,-722.14HKD,163768.34HKD
Coffee,2016-11-13T13:14:15Z,-65.73HKD,164490.48HKD
Restaurants,2016-11-13T04:39:48Z,-323.87HKD,164556.21HKD
Bar,2016-11-13T03:44:39Z,-216.69HKD,164880.08HKD
Shopping,2016-11-09T17:25:48Z,-541.84HKD,165096.77HKD
Coffee,2016-11-09T03:51:15Z,-149.45HKD,165638.61HKD
Shopping,2016-11-07T19:25:26Z,-323.87HKD,165788.06HKD
Restaurants,2016-11-07T15:35:30Z,-997.38HKD,166111.93HKD
Shopping,2016-11-06T01:13:02Z,-870.20HKD,167109.31HKD
Shopping,2016-11-04T23:18:21Z,-722.14HKD,167979.51HKD
Shopping,2016-11-04T18:49:27Z,-65.73HKD,168701.65HKD
Water,2016-11-02T21:08:32Z,-271.49HKD,168767.38HKD
Gas/Elec,2016-11-02T20:17:40Z,-1056.45HKD,169038.87HKD
Monthly Golf membership,2016-11-02T13:08:28Z,-407.62HKD,170095.32HKD
Council Tax,2016-11-02T09:17:35Z,-271.49HKD,170502.94HKD
Savings,2016-10-30T05:01:13Z,-2688.87HKD,170774.43HKD
Pay Ref 56412,2016-10-29T20:17:11Z,17890.36HKD,173463.30HKD
BT,2016-10-20T17:04:10Z,-376.34HKD,155572.94HKD
Filling Station,2016-10-12T01:30:48Z,-722.14HKD,155949.28HKD
Bar,2016-10-12T00:34:27Z,-427.22HKD,156671.42HKD
Shopping,2016-10-11T03:22:46Z,-633.12HKD,157098.64HKD
Restaurants,2016-10-09T06:15:02Z,-791.92HKD,157731.76HKD
Parking,2016-10-05T19:34:52Z,-58.40HKD,158523.68HKD
Coffee,2016-10-05T16:53:47Z,-65.73HKD,158582.08HKD
Shopping,2016-10-05T15:01:22Z,-500.22HKD,158647.81HKD
Coffee,2016-10-05T10:00:28Z,-149.45HKD,159148.03HKD
Florist,2016-10-05T08:08:58Z,-271.49HKD,159297.48HKD
Restaurants,2016-10-05T02:19:28Z,-380.11HKD,159568.97HKD
Filling Station,2016-10-05T01:25:46Z,-722.14HKD,159949.08HKD
Shopping,2016-10-02T20:43:15Z,-997.38HKD,160671.22HKD
Monthly Golf membership,2016-10-01T20:20:40Z,-407.62HKD,161668.60HKD
Council Tax,2016-10-01T20:20:08Z,-271.49HKD,162076.22HKD
Water,2016-10-01T10:48:46Z,-271.49HKD,162347.71HKD
Gas/Elec,2016-10-01T05:41:18Z,-1056.45HKD,162619.20HKD
Savings,2016-09-30T11:51:01Z,-2688.87HKD,163675.65HKD
BT,2016-09-29T19:53:52Z,-376.34HKD,166364.52HKD
Income,2016-09-29T19:07:47Z,17890.36HKD,166740.86HKD
Shopping,2016-09-22T10:07:35Z,-674.36HKD,148850.50HKD
Coffee,2016-09-18T20:33:52Z,-69.61HKD,149524.86HKD
Shopping,2016-09-18T20:18:55Z,-804.89HKD,149594.47HKD
Shopping,2016-09-18T04:33:26Z,-537.80HKD,150399.36HKD
Restaurants,2016-09-18T00:53:32Z,-292.10HKD,150937.16HKD
Restaurants,2016-09-17T10:09:03Z,-674.52HKD,151229.26HKD
Filling Station,2016-09-09T22:43:27Z,-717.48HKD,151903.78HKD
Shopping,2016-09-09T00:09:49Z,-522.73HKD,152621.26HKD
Tax Ref 4583245,2016-09-01T23:41:24Z,-271.49HKD,153143.99HKD
Monthly Golf membership,2016-09-01T17:37:28Z,-407.62HKD,153415.48HKD
Water,2016-09-01T10:19:32Z,-271.49HKD,153823.10HKD
Gas/Elec,2016-09-01T08:00:25Z,-1056.45HKD,154094.59HKD
Savings,2016-08-30T00:20:39Z,-2688.87HKD,155151.04HKD
BT,2016-08-29T17:16:47Z,-376.34HKD,157839.91HKD
Income,2016-08-29T05:01:40Z,17890.36HKD,158216.25HKD
Savings,2016-08-28T20:33:11Z,-2688.87HKD,140325.89HKD
Filling Station,2016-08-26T05:42:19Z,-722.14HKD,143014.76HKD
Shopping,2016-08-22T00:51:44Z,-712.21HKD,143736.90HKD
Coffee,2016-08-19T22:28:00Z,-69.75HKD,144449.11HKD
Restaurants,2016-08-15T07:39:24Z,-279.33HKD,144518.86HKD
Bar,2016-08-14T14:06:38Z,-194.27HKD,144798.19HKD
Shopping,2016-08-09T18:08:09Z,-541.84HKD,144992.46HKD
Restaurants,2016-08-08T23:10:26Z,-1080.71HKD,145534.30HKD
Shopping,2016-08-08T17:12:21Z,-371.16HKD,146615.01HKD
Coffee,2016-08-08T13:25:02Z,-148.39HKD,146986.17HKD
Shopping,2016-08-08T05:54:27Z,-1056.88HKD,147134.56HKD
Filling Station,2016-08-04T14:07:00Z,-722.14HKD,148191.44HKD
Shopping,2016-08-03T05:33:16Z,-46.22HKD,148913.58HKD
Monthly Golf membership,2016-08-01T18:46:51Z,-407.62HKD,148959.80HKD
Water,2016-08-01T10:27:22Z,-271.49HKD,149367.42HKD
Gas/Elec,2016-08-01T04:47:50Z,-1056.45HKD,149638.91HKD
Tax Ref 4583245,2016-08-01T03:05:40Z,-271.49HKD,150695.36HKD
Savings,2016-07-30T16:17:05Z,-2688.87HKD,150966.85HKD
Income,2016-07-29T13:41:45Z,17890.36HKD,153655.72HKD
BT,2016-07-29T04:25:49Z,-376.34HKD,135765.36HKD
Bar,2016-07-24T03:05:08Z,-427.22HKD,136141.70HKD
Shopping,2016-07-20T14:07:36Z,-688.26HKD,136568.92HKD
Filling Station,2016-07-20T01:57:15Z,-722.14HKD,137257.18HKD
Restaurants,2016-07-18T16:53:59Z,-905.47HKD,137979.32HKD
Coffee,2016-07-13T15:54:36Z,-61.99HKD,138884.79HKD
Parking,2016-07-13T02:33:14Z,-52.96HKD,138946.78HKD
Shopping,2016-07-12T15:38:23Z,-586.59HKD,138999.74HKD
Florist,2016-07-12T15:07:07Z,-271.49HKD,139586.33HKD
Restaurants,2016-07-10T17:44:55Z,-347.62HKD,139857.82HKD
