description,completed,value,new_balance
Shopping,2019-06-04T04:36:39Z,-522.73HKD,38656.31HKD
Filling Station,2019-06-04T02:32:38Z,-717.48HKD,39179.04HKD
Tax Ref 4583245,2019-06-01T22:33:03Z,-271.49HKD,39896.52HKD
Water,2019-06-01T21:50:39Z,-271.49HKD,40168.01HKD
Monthly Golf membership,2019-06-01T18:39:01Z,-407.62HKD,40439.50HKD
Gas/Elec,2019-06-01T17:19:01Z,-1056.45HKD,40847.12HKD
Pay Ref 765139,2019-05-30T21:54:19Z,17890.36HKD,41903.57HKD
Savings,2019-05-30T21:31:10Z,-2688.87HKD,24013.21HKD
BT,2019-05-15T01:12:23Z,-376.34HKD,26702.08HKD
Filling Station,2019-05-14T20:14:37Z,-722.14HKD,27078.42HKD
Shopping,2019-05-14T12:04:40Z,-547.75HKD,27800.56HKD
Bar,2019-05-13T15:15:15Z,-216.69HKD,28348.31HKD
Restaurants,2019-05-13T08:27:03Z,-323.87HKD,28565.00HKD
Coffee,2019-05-13T05:42:23Z,-65.73HKD,28888.87HKD
Coffee,2019-05-09T04:56:56Z,-149.45HKD,28954.60HKD
Shopping,2019-05-09T03:38:14Z,-541.84HKD,29104.05HKD
Restaurants,2019-05-07T17:01:44Z,-997.38HKD,29645.89HKD
Shopping,2019-05-07T09:23:43Z,-323.87HKD,30643.27HKD
Shopping,2019-05-06T23:23:25Z,-870.20HKD,30967.14HKD
Shopping,2019-05-04T03:18:37Z,-65.73HKD,31837.34HKD
Shopping,2019-05-04T00:19:46Z,-722.14HKD,31903.07HKD
Gas/Elec,2019-05-02T04:54:34Z,-1056.45HKD,32625.21HKD
Water,2019-05-02T03:41:17Z,-271.49HKD,33681.66HKD
Tax Ref 4583245,2019-05-02T03:06:51Z,-271.49HKD,33953.15HKD
Monthly Golf membership,2019-05-02T01:27:30Z,-407.62HKD,34224.64HKD
Savings,2019-04-25T14:36:09Z,-2688.87HKD,34632.26HKD
Pay Ref 78431,2019-04-18T04:25:34Z,17890.36HKD,37321.13HKD
BT,2019-04-13T05:20:27Z,-376.34HKD,19430.77HKD
Filling Station,2019-04-11T14:03:48Z,-722.14HKD,19807.11HKD
Bar,2019-04-11T01:10:21Z,-427.22HKD,20529.25HKD
Shopping,2019-04-10T17:04:07Z,-633.12HKD,20956.47HKD
Restaurants,2019-04-08T19:37:32Z,-791.92HKD,21589.59HKD
Coffee,2019-04-05T21:28:44Z,-65.73HKD,22381.51HKD
Filling Station,2019-04-05T19:25:12Z,-722.14HKD,22447.24HKD
Shopping,2019-04-05T14:33:31Z,-500.22HKD,23169.38HKD
Florist,2019-04-05T14:31:44Z,-271.49HKD,23669.60HKD
Parking,2019-04-05T06:11:00Z,-58.40HKD,23941.09HKD
Restaurants,2019-04-05T01:26:35Z,-380.11HKD,23999.49HKD
Coffee,2019-04-05T00:55:39Z,-149.45HKD,24379.60HKD
Shopping,2019-04-02T18:23:52Z,-997.38HKD,24529.05HKD
Tax Ref 4583245,2019-04-01T22:52:50Z,-271.49HKD,25526.43HKD
Water,2019-04-01T20:48:31Z,-271.49HKD,25797.92HKD
Gas/Elec,2019-04-01T13:38:41Z,-1056.45HKD,26069.41HKD
Monthly Golf membership,2019-04-01T10:48:26Z,-407.62HKD,27125.86HKD
Savings,2019-03-31T16:45:42Z,-2688.87HKD,27533.48HKD
Income,2019-03-29T21:38:03Z,17890.36HKD,30222.35HKD
BT,2019-03-29T07:09:48Z,-376.34HKD,12331.99HKD
Shopping,2019-03-22T14:59:51Z,-674.36HKD,12708.33HKD
Shopping,2019-03-18T23:34:54Z,-804.89HKD,13382.69HKD
Restaurants,2019-03-18T21:06:27Z,-292.10HKD,14187.58HKD
Shopping,2019-03-18T14:49:49Z,-537.80HKD,14479.68HKD
Coffee,2019-03-18T11:06:38Z,-69.61HKD,15017.48HKD
Restaurants,2019-03-17T10:30:48Z,-674.52HKD,15087.09HKD
Shopping,2019-03-09T12:39:32Z,-522.73HKD,15761.61HKD
Filling Station,2019-03-09T00:31:21Z,-717.48HKD,16284.34HKD
Monthly Golf membership,2019-03-01T18:33:57Z,-407.62HKD,17001.82HKD
Tax Ref 4583245,2019-03-01T11:56:45Z,-271.49HKD,17409.44HKD
Gas/Elec,2019-03-01T06:27:17Z,-1056.45HKD,17680.93HKD
Water,2019-03-01T01:31:03Z,-271.49HKD,18737.38HKD
Income,2019-02-26T07:17:22Z,17890.36HKD,19008.87HKD
BT,2019-02-24T22:57:43Z,-376.34HKD,1118.51HKD
Filling Station,2019-02-21T19:38:31Z,-722.14HKD,1494.85HKD
Filling Station,2019-02-21T13:19:08Z,-722.14HKD,2216.99HKD
Shopping,2019-02-19T09:44:52Z,-712.21HKD,2939.13HKD
Shopping,2019-02-19T05:51:13Z,-712.21HKD,3651.34HKD
Coffee,2019-02-17T11:30:23Z,-69.75HKD,4363.55HKD
Coffee,2019-02-17T06:33:21Z,-69.75HKD,4433.30HKD
Restaurants,2019-02-13T15:32:56Z,-279.33HKD,4503.05HKD
Restaurants,2019-02-13T04:01:48Z,-279.33HKD,4782.38HKD
Bar,2019-02-11T14:59:01Z,-194.27HKD,5061.71HKD
Bar,2019-02-11T06:28:57Z,-194.27HKD,5255.98HKD
Shopping,2019-02-09T22:31:52Z,-541.84HKD,5450.25HKD
Shopping,2019-02-09T11:14:37Z,-541.84HKD,5992.09HKD
Coffee,2019-02-08T06:35:27Z,-148.39HKD,6533.93HKD
Coffee,2019-02-08T06:00:31Z,-148.39HKD,6682.32HKD
Shopping,2019-02-07T22:30:23Z,-371.16HKD,6830.71HKD
Shopping,2019-02-07T15:12:06Z,-371.16HKD,7201.87HKD
Shopping,2019-02-06T16:25:49Z,-1056.88HKD,7573.03HKD
Shopping,2019-02-06T11:03:07Z,-1056.88HKD,8629.91HKD
Restaurants,2019-02-06T08:58:19Z,-1080.71HKD,9686.79HKD
Restaurants,2019-02-06T08:35:42Z,-1080.71HKD,10767.50HKD
Filling Station,2019-02-04T02:20:00Z,-722.14HKD,11848.21HKD
Filling Station,2019-02-04T02:19:22Z,-722.14HKD,12570.35HKD
Shopping,2019-02-03T15:14:24Z,-46.22HKD,13292.49HKD
Shopping,2019-02-03T05:20:16Z,-46.22HKD,13338.71HKD
Gas/Elec,2019-02-01T20:50:00Z,-1056.45HKD,13384.93HKD
Tax Ref 4583245,2019-02-01T20:01:45Z,-271.49HKD,14441.38HKD
Water,2019-02-01T16:15:35Z,-271.49HKD,14712.87HKD
Tax Ref 4583245,2019-02-01T15:58:48Z,-271.49HKD,14984.36HKD
Gas/Elec,2019-02-01T15:35:03Z,-1056.45HKD,15255.85HKD
Monthly Golf membership,2019-02-01T13:08:00Z,-407.62HKD,16312.30HKD
Monthly Golf membership,2019-02-01T07:00:51Z,-407.62HKD,16719.92HKD
Water,2019-02-01T03:16:13Z,-271.49HKD,17127.54HKD
Savings,2019-01-31T18:24:39Z,-2688.87HKD,17399.03HKD
Savings,2019-01-31T00:44:57Z,-2688.87HKD,20087.90HKD
Income,2019-01-27T16:29:12Z,17890.36HKD,22776.77HKD
BT,2019-01-27T15:29:25Z,-376.34HKD,4886.41HKD
Income,2019-01-27T04:52:36Z,17890.36HKD,5262.75HKD
BT,2019-01-27T02:24:47Z,-376.34HKD,-12627.61HKD
