description,completed,value,new_balance
Cinema Ref CC4976651,2016-12-30T17:00:58Z,-234.75HKD,2799.68HKD
Shopping Ref CC1132387,2016-12-30T08:34:21Z,-538.61HKD,3034.43HKD
Parking Ref CC7846612,2016-12-30T05:42:40Z,-77.89HKD,3573.04HKD
coffee Ref CC5578151,2016-12-29T11:36:32Z,-40.42HKD,3650.93HKD
resturant Ref CC5987661,2016-12-28T23:53:33Z,-331.96HKD,3691.35HKD
Shopping Ref CC0097804,2016-12-28T12:21:33Z,-2688.87HKD,4023.31HKD
Shopping Ref  CC4453211,2016-12-28T06:56:21Z,-1506.59HKD,6712.18HKD
Takeway Ref CC1115656,2016-12-24T17:53:37Z,-77.89HKD,8218.77HKD
coffee Ref CC5578951,2016-12-24T08:48:16Z,-40.42HKD,8296.66HKD
Bar Ref CC6784321,2016-12-19T21:36:53Z,-443.08HKD,8337.08HKD
Filling Station CC6784305,2016-12-04T11:05:59Z,-587.59HKD,8780.16HKD
Shopping Ref CC6797804,2016-12-01T08:40:06Z,-538.61HKD,9367.75HKD
Bar Ref CC5432871,2016-10-01T17:37:42Z,-151.86HKD,9906.36HKD
Bar Ref CC5971542,2016-09-27T02:01:00Z,-151.86HKD,10058.22HKD
Parking Ref CC6759031,2016-09-24T13:51:01Z,-77.89HKD,10210.08HKD
Shopping Ref CC8794125,2016-09-23T14:27:52Z,-538.61HKD,10287.97HKD
Cinema Ref CC0126384,2016-09-21T03:28:58Z,-234.75HKD,10826.58HKD
coffee Ref CC1256843,2016-09-19T04:28:09Z,-40.42HKD,11061.33HKD
Restaurant CC1456239,2016-09-17T15:34:30Z,-331.96HKD,11101.75HKD
Shopping Ref CC8797864,2016-09-17T11:32:19Z,-2688.87HKD,11433.71HKD
Shopping Ref CC3766864,2016-09-17T08:27:55Z,-1506.59HKD,14122.58HKD
coffee Ref CC1290843,2016-09-15T13:01:22Z,-156.16HKD,15629.17HKD
Takeway Ref CC1265481,2016-09-11T00:08:02Z,-77.89HKD,15785.33HKD
Bar Ref CC5971342,2016-09-07T21:13:47Z,-443.08HKD,15863.22HKD
Filling Station Ref CC8895831,2016-09-02T18:19:38Z,-587.59HKD,16306.30HKD
Shopping Ref CC0097864,2016-09-01T21:20:22Z,-289.63HKD,16893.89HKD
Cinema Ref CC2214143,2016-06-30T23:29:09Z,-234.75HKD,17183.52HKD
Shopping Ref CC5656121,2016-06-30T15:49:31Z,-538.61HKD,17418.27HKD
Parking Ref CC4532111,2016-06-30T03:25:42Z,-77.89HKD,17956.88HKD
coffee Ref CC5131124,2016-06-29T08:24:01Z,-40.42HKD,18034.77HKD
Shopping Ref CC7645331,2016-06-28T10:17:05Z,-1506.59HKD,18075.19HKD
Restaurant Ref  CC5455412,2016-06-28T03:29:47Z,-331.96HKD,19581.78HKD
Shopping Ref CC8089531,2016-06-28T02:17:17Z,-2688.87HKD,19913.74HKD
coffee Ref CC5431124,2016-06-24T23:30:06Z,-40.42HKD,22602.61HKD
Takeway Ref CC2347651,2016-06-21T00:55:08Z,-77.89HKD,22643.03HKD
Bar Ref CC1235412,2016-06-19T11:43:44Z,-443.08HKD,22720.92HKD
Filling Station Ref CC1695432,2016-06-04T15:36:51Z,-587.59HKD,23164.00HKD
Shopping Ref CC80895431,2016-06-01T05:33:49Z,-538.61HKD,23751.59HKD
Bar Ref CC5432872,2016-04-01T03:28:19Z,-151.86HKD,24290.20HKD
Bar Ref CC1421712,2016-03-26T18:10:31Z,-151.86HKD,24442.06HKD
Parking Ref CC6146612,2016-03-24T15:51:42Z,-77.89HKD,24593.92HKD
Shopping Ref CC70595431,2016-03-23T07:29:59Z,-538.61HKD,24671.81HKD
Cinema Ref CC7714143,2016-03-21T08:05:38Z,-234.75HKD,25210.42HKD
coffee Ref CC1406843,2016-03-19T01:15:12Z,-40.42HKD,25445.17HKD
Restaurant Ref  CC7655412,2016-03-17T21:26:00Z,-331.96HKD,25485.59HKD
Shopping Ref CC0066915,2016-03-17T14:34:01Z,-1506.59HKD,25817.55HKD
Shopping Ref CC8755412,2016-03-16T22:37:17Z,-2688.87HKD,27324.14HKD
coffee Ref CC1776843,2016-03-13T04:54:44Z,-40.42HKD,30013.01HKD
Takeway Ref CC1225656,2016-03-11T23:00:34Z,-77.89HKD,30053.43HKD
Bar Ref CC3421711,2016-03-06T19:23:23Z,-443.08HKD,30131.32HKD
Filling Station Ref CC1695831,2016-03-02T01:24:50Z,-587.59HKD,30574.40HKD
Shopping Ref CC7712139,2016-03-01T23:44:22Z,-538.61HKD,31161.99HKD
Cinema Ref CC4976651,2015-12-30T06:00:14Z,-234.75HKD,31700.60HKD
Shopping Ref CC1132387,2015-12-30T01:32:11Z,-538.61HKD,31935.35HKD
Parking Ref CC7846612,2015-12-30T01:24:44Z,-77.89HKD,32473.96HKD
coffee Ref CC5578151,2015-12-29T20:33:50Z,-40.42HKD,32551.85HKD
Shopping Ref CC0097804,2015-12-28T10:32:45Z,-2688.87HKD,32592.27HKD
Shopping Ref  CC4453211,2015-12-28T09:31:42Z,-1506.59HKD,35281.14HKD
resturant Ref CC5987661,2015-12-28T01:52:08Z,-331.96HKD,36787.73HKD
coffee Ref CC5578951,2015-12-24T04:56:42Z,-40.42HKD,37119.69HKD
Takeway Ref CC1115656,2015-12-24T02:57:14Z,-77.89HKD,37160.11HKD
Bar Ref CC6784321,2015-12-19T01:46:24Z,-443.08HKD,37238.00HKD
Filling Station CC6784305,2015-12-04T07:32:28Z,-587.59HKD,37681.08HKD
Shopping Ref CC6797804,2015-12-01T11:57:46Z,-538.61HKD,38268.67HKD
Bar Ref CC5432871,2015-10-01T04:58:24Z,-151.86HKD,38807.28HKD
Bar Ref CC5971542,2015-09-27T03:17:01Z,-151.86HKD,38959.14HKD
Parking Ref CC6759031,2015-09-24T17:15:38Z,-77.89HKD,39111.00HKD
Shopping Ref CC8794125,2015-09-23T20:03:48Z,-538.61HKD,39188.89HKD
Cinema Ref CC0126384,2015-09-21T01:01:25Z,-234.75HKD,39727.50HKD
coffee Ref CC1256843,2015-09-19T05:31:56Z,-40.42HKD,39962.25HKD
Restaurant CC1456239,2015-09-17T19:55:48Z,-331.96HKD,40002.67HKD
Shopping Ref CC8797864,2015-09-17T14:32:07Z,-2688.87HKD,40334.63HKD
Shopping Ref CC3766864,2015-09-17T14:27:46Z,-1506.59HKD,43023.50HKD
coffee Ref CC1290843,2015-09-15T22:01:50Z,-156.16HKD,44530.09HKD
Takeway Ref CC1265481,2015-09-11T12:25:23Z,-77.89HKD,44686.25HKD
Bar Ref CC5971342,2015-09-07T16:02:50Z,-443.08HKD,44764.14HKD
Filling Station Ref CC8895831,2015-09-02T21:01:12Z,-587.59HKD,45207.22HKD
Shopping Ref CC0097864,2015-09-01T03:10:48Z,-289.63HKD,45794.81HKD
Parking Ref CC4532111,2015-06-30T16:02:45Z,-77.89HKD,46084.44HKD
Cinema Ref CC2214143,2015-06-30T14:24:10Z,-234.75HKD,46162.33HKD
Shopping Ref CC5656121,2015-06-30T08:35:36Z,-538.61HKD,46397.08HKD
coffee Ref CC5131124,2015-06-29T19:17:00Z,-40.42HKD,46935.69HKD
Restaurant Ref  CC5455412,2015-06-28T19:25:19Z,-331.96HKD,46976.11HKD
Shopping Ref CC7645331,2015-06-28T15:41:13Z,-1506.59HKD,47308.07HKD
Shopping Ref CC8089531,2015-06-28T10:23:55Z,-2688.87HKD,48814.66HKD
coffee Ref CC5431124,2015-06-24T13:26:05Z,-40.42HKD,51503.53HKD
Takeway Ref CC2347651,2015-06-21T00:45:43Z,-77.89HKD,51543.95HKD
Bar Ref CC1235412,2015-06-19T14:28:39Z,-443.08HKD,51621.84HKD
Filling Station Ref CC1695432,2015-06-04T22:57:06Z,-587.59HKD,52064.92HKD
Shopping Ref CC80895431,2015-06-01T19:21:36Z,-538.61HKD,52652.51HKD
Bar Ref CC5432872,2015-04-01T12:29:45Z,-151.86HKD,53191.12HKD
Bar Ref CC1421712,2015-03-26T18:53:43Z,-151.86HKD,53342.98HKD
Parking Ref CC6146612,2015-03-24T02:52:05Z,-77.89HKD,53494.84HKD
Shopping Ref CC70595431,2015-03-23T20:27:04Z,-538.61HKD,53572.73HKD
Cinema Ref CC7714143,2015-03-21T19:39:43Z,-234.75HKD,54111.34HKD
coffee Ref CC1406843,2015-03-19T10:44:24Z,-40.42HKD,54346.09HKD
Restaurant Ref  CC7655412,2015-03-17T11:54:31Z,-331.96HKD,54386.51HKD
Shopping Ref CC0066915,2015-03-17T02:50:41Z,-1506.59HKD,54718.47HKD
Shopping Ref CC8755412,2015-03-16T13:35:39Z,-2688.87HKD,56225.06HKD
coffee Ref CC1776843,2015-03-13T21:25:38Z,-40.42HKD,58913.93HKD
